group,value,P1_fan,P1_dE,P2_fan,P2_dE
Comfort band,single 24 C,85.97133333333333,26.22934342410835,49.94266666666666,160.53539868766615
Comfort band,"[21,28]",44.63066666666667,-38.0208418350323,28.424333333333333,80.37860858396986
Comfort band,"[22,27]*",51.44566666666666,-26.95294490691498,33.11866666666667,84.3480384209806
Comfort band,"[23,26]",72.96799999999999,4.812655657245449,48.023,124.63150091188132
Energy weight,0.02,55.56700000000001,-16.33050213442666,30.627666666666663,99.72629385020808
Energy weight,0.04*,51.44566666666666,-26.95294490691498,33.11866666666667,84.3480384209806
Energy weight,0.08,47.510666666666665,-35.23613259969012,26.488666666666667,46.31868156274059
Grounding ratio,100/0,53.75066666666667,-24.65937578180445,36.346333333333334,89.3978203130608
Grounding ratio,80/20,51.78033333333334,-26.41717783915214,34.160333333333334,87.47982453413813
Grounding ratio,70/30*,51.44566666666666,-26.95294490691498,33.11866666666667,84.3480384209806
Grounding ratio,60/40,51.02966666666667,-27.505750035167743,32.006,76.65571198890925
